aX,aY,aZ,gX,gY,gZ
-9.677,-6.761,26.375,0.020,-0.014,0.794
-9.984,-6.934,26.959,0.167,0.024,0.855
-10.405,-7.293,27.466,0.322,0.055,0.896
-10.937,-7.843,27.926,0.497,0.073,0.922
-11.473,-8.499,28.213,0.709,0.060,0.939
-12.067,-9.117,28.252,0.960,0.003,0.959
-12.646,-9.663,27.945,1.236,-0.092,0.991
-13.154,-10.104,27.208,1.534,-0.223,1.037
-13.633,-10.338,25.920,1.885,-0.460,1.098
-13.819,-10.391,24.603,2.171,-0.726,1.152
-13.771,-10.319,23.305,2.431,-1.012,1.214
-13.551,-10.190,21.964,2.676,-1.287,1.282
-13.077,-9.984,20.662,2.897,-1.549,1.353
-12.392,-9.754,19.450,3.093,-1.750,1.421
-11.444,-9.534,18.062,3.300,-1.880,1.491
-10.640,-9.371,16.817,3.466,-1.917,1.524
-10.008,-9.189,15.385,3.619,-1.910,1.530
-9.457,-8.973,13.810,3.752,-1.848,1.518
-9.060,-8.729,12.096,3.858,-1.763,1.498
-8.849,-8.394,10.309,3.920,-1.683,1.475
-8.748,-7.958,8.538,3.932,-1.631,1.465
-8.643,-7.503,6.924,3.888,-1.588,1.485
-8.394,-6.972,5.464,3.795,-1.525,1.553
-7.958,-6.426,4.243,3.656,-1.441,1.655
-7.120,-5.827,3.342,3.480,-1.334,1.783
-5.727,-5.143,2.653,3.261,-1.162,1.933
-4.305,-4.554,2.164,3.090,-0.962,2.032
-2.854,-3.922,1.686,2.934,-0.714,2.093
-1.437,-3.251,1.053,2.792,-0.442,2.101
-0.268,-2.586,0.235,2.641,-0.178,2.049
0.570,-1.901,-0.728,2.474,0.039,1.937
1.039,-1.231,-1.796,2.284,0.181,1.782
1.164,-0.747,-2.662,2.065,0.230,1.628
1.164,-0.469,-3.089,1.843,0.197,1.492
1.245,-0.345,-3.069,1.659,0.100,1.378
1.460,-0.239,-2.892,1.516,-0.020,1.274
1.776,-0.124,-2.725,1.406,-0.130,1.163
1.968,0.029,-2.591,1.319,-0.226,1.030
2.011,0.120,-2.423,1.244,-0.305,0.890
1.824,0.192,-2.121,1.180,-0.364,0.768
