aX,aY,aZ,gX,gY,gZ
-19.594,-8.763,5.770,1.430,0.246,-3.959
-20.183,-8.150,5.387,1.387,0.166,-3.681
-20.446,-7.527,5.085,1.318,0.095,-3.373
-20.327,-6.962,4.836,1.233,0.047,-3.058
-19.853,-6.345,4.621,1.142,0.036,-2.759
-19.288,-5.737,4.410,1.040,0.047,-2.500
-18.809,-5.191,4.338,0.941,0.066,-2.286
-18.550,-4.736,4.405,0.854,0.092,-2.094
-18.512,-4.391,4.621,0.789,0.134,-1.900
-18.531,-4.070,4.817,0.754,0.183,-1.689
-18.421,-3.701,4.956,0.737,0.221,-1.467
-18.115,-3.218,4.942,0.732,0.245,-1.205
-17.664,-2.840,4.903,0.728,0.266,-0.979
-17.119,-2.452,4.750,0.722,0.281,-0.758
-16.415,-1.978,4.410,0.706,0.268,-0.553
-15.625,-1.460,4.075,0.669,0.239,-0.366
-14.791,-1.034,3.792,0.608,0.212,-0.201
-14.064,-0.661,3.668,0.535,0.199,-0.049
-13.431,-0.421,3.644,0.464,0.180,0.094
-12.819,-0.187,3.716,0.392,0.174,0.240
-12.158,0.053,3.778,0.321,0.170,0.382
-11.401,0.292,3.850,0.246,0.166,0.514
-10.625,0.503,3.883,0.158,0.170,0.635
-9.764,0.685,3.936,0.057,0.173,0.738
-8.863,0.809,4.075,-0.051,0.176,0.816
-8.045,0.871,4.286,-0.159,0.179,0.866
-7.341,0.900,4.616,-0.265,0.179,0.893
-6.823,0.862,4.994,-0.365,0.178,0.903
-6.431,0.761,5.449,-0.454,0.172,0.903
-6.148,0.603,5.995,-0.520,0.160,0.898
-5.952,0.450,6.536,-0.568,0.143,0.893
-5.794,0.287,7.144,-0.599,0.126,0.894
-5.689,0.057,7.901,-0.603,0.114,0.911
-5.516,-0.101,8.552,-0.579,0.117,0.942
-5.286,-0.120,8.906,-0.547,0.132,0.976
-5.023,-0.096,9.084,-0.525,0.146,0.999
-4.784,-0.086,9.261,-0.516,0.152,1.009
-4.525,-0.144,9.428,-0.507,0.158,1.018
-4.286,-0.158,9.543,-0.495,0.167,1.022
-4.056,-0.192,9.644,-0.482,0.173,1.016
-3.888,-0.196,9.658,-0.470,0.168,1.002
-3.802,-0.211,9.634,-0.459,0.153,0.980
-3.740,-0.215,9.596,-0.452,0.138,0.954
-3.721,-0.220,9.577,-0.449,0.118,0.928
-3.745,-0.259,9.629,-0.445,0.099,0.903
-3.802,-0.326,9.744,-0.437,0.082,0.885
-3.859,-0.460,9.922,-0.416,0.074,0.881
-3.893,-0.517,10.036,-0.384,0.078,0.885
-3.955,-0.484,9.936,-0.357,0.097,0.888
-4.085,-0.474,9.816,-0.356,0.116,0.891
-4.228,-0.522,9.754,-0.367,0.126,0.902
-4.271,-0.584,9.764,-0.377,0.133,0.920
-4.262,-0.608,9.730,-0.382,0.137,0.938
-4.233,-0.608,9.711,-0.386,0.135,0.945
-4.305,-0.608,9.663,-0.392,0.124,0.948
-4.348,-0.632,9.634,-0.401,0.117,0.954
-4.338,-0.656,9.634,-0.414,0.115,0.967
-4.271,-0.666,9.677,-0.427,0.112,0.982
-4.190,-0.704,9.682,-0.435,0.112,0.990
-4.128,-0.752,9.754,-0.437,0.108,0.992
-4.094,-0.824,9.764,-0.425,0.104,0.988
-4.137,-0.843,9.663,-0.408,0.095,0.980
-4.209,-0.819,9.491,-0.401,0.082,0.974
-4.300,-0.752,9.285,-0.408,0.062,0.966
-4.343,-0.742,9.136,-0.427,0.037,0.962
-4.353,-0.781,9.093,-0.447,0.014,0.956
-4.367,-0.809,9.074,-0.465,0.002,0.950
-4.477,-0.857,9.017,-0.480,-0.003,0.950
-4.640,-0.924,9.021,-0.493,0.001,0.963

18.292,-5.655,17.248,0.034,-0.595,-1.493
18.833,-6.282,17.870,0.131,-0.652,-1.909
19.297,-7.049,18.569,0.271,-0.673,-2.388
19.508,-7.719,19.077,0.406,-0.651,-2.790
19.680,-8.461,19.474,0.550,-0.589,-3.188
19.632,-9.208,19.642,0.706,-0.472,-3.587
19.355,-9.993,19.489,0.869,-0.320,-3.984
18.809,-10.716,19.101,1.018,-0.139,-4.366
18.047,-11.535,18.641,1.155,0.045,-4.366
16.999,-12.603,18.024,1.307,0.238,-4.366
15.907,-13.499,17.415,1.436,0.380,-4.366
14.667,-14.480,16.803,1.569,0.486,-4.366
13.149,-15.510,16.185,1.713,0.564,-4.366
11.334,-16.601,15.581,1.881,0.609,-4.366
8.887,-17.593,14.863,2.092,0.638,-4.366
6.383,-18.138,14.059,2.284,0.652,-4.366
3.735,-18.526,13.015,2.473,0.638,-4.366
0.848,-18.660,11.684,2.637,0.615,-4.366
-2.342,-18.574,10.290,2.762,0.560,-4.366
-5.679,-18.541,8.887,2.860,0.468,-4.366
-8.854,-18.426,7.518,2.929,0.318,-4.366
-11.602,-18.129,6.134,2.924,0.166,-4.366
-14.011,-17.583,4.717,2.826,0.006,-4.366
-16.271,-16.496,3.199,2.596,-0.188,-4.366
-17.751,-15.428,2.088,2.294,-0.311,-4.366
-18.766,-14.437,1.355,1.944,-0.349,-4.366
-19.484,-13.599,1.087,1.575,-0.305,-4.366
-20.130,-12.943,1.384,1.225,-0.213,-4.366
-20.983,-12.517,2.251,0.941,-0.092,-4.366
-22.094,-12.244,3.414,0.746,0.029,-4.366
-23.636,-11.923,4.764,0.636,0.157,-4.366
-24.699,-11.516,5.602,0.617,0.248,-4.366
